1,1,871.14,627.14,150.56,137.15,0.96,-1,-1,-1
1,2,1148.62,848.09,240.76,223.13,0.96,-1,-1,-1
1,3,7.61,700.92,136.06,90.37,0.94,-1,-1,-1
1,4,271.30,810.04,105.17,134.72,0.92,-1,-1,-1
1,5,1694.77,477.04,147.67,123.44,0.91,-1,-1,-1
1,6,693.44,335.28,146.03,123.54,0.89,-1,-1,-1
1,7,835.88,459.68,154.75,153.16,0.88,-1,-1,-1
1,8,7.10,701.69,138.42,88.47,0.76,-1,-1,-1
1,9,1430.42,337.34,115.93,121.80,0.65,-1,-1,-1
2,1,871.48,628.05,149.72,136.34,0.96,-1,-1,-1
2,2,1147.80,850.70,240.34,222.75,0.76,-1,-1,-1
2,3,8.87,701.29,135.06,89.71,0.90,-1,-1,-1
2,4,271.61,811.26,104.43,133.75,0.93,-1,-1,-1
2,5,1695.51,476.52,149.87,125.40,0.87,-1,-1,-1
2,6,695.32,338.27,142.86,120.75,0.91,-1,-1,-1
2,7,836.43,460.61,152.97,151.37,0.89,-1,-1,-1
2,8,7.85,701.80,138.07,88.26,0.80,-1,-1,-1
2,9,1424.56,325.35,126.16,132.93,0.78,-1,-1,-1
3,1,871.37,626.80,151.62,138.12,0.96,-1,-1,-1
3,2,1150.12,850.78,238.91,221.37,0.87,-1,-1,-1
3,3,8.66,700.97,136.26,90.55,0.95,-1,-1,-1
3,4,272.69,813.38,103.89,133.00,0.93,-1,-1,-1
3,5,1694.87,474.80,151.90,127.34,0.89,-1,-1,-1
3,6,695.04,340.48,142.22,120.04,0.92,-1,-1,-1
3,7,835.82,459.00,155.03,153.50,0.94,-1,-1,-1
3,8,7.37,701.38,139.64,89.30,0.64,-1,-1,-1
3,9,1427.37,330.80,120.99,127.72,0.71,-1,-1,-1
4,1,871.39,626.39,152.07,138.57,0.96,-1,-1,-1
4,2,1149.33,851.59,239.54,221.97,0.86,-1,-1,-1
4,3,8.60,701.05,136.69,90.87,0.95,-1,-1,-1
4,4,273.75,815.65,102.30,130.81,0.93,-1,-1,-1
4,5,1695.80,476.30,149.62,125.58,0.91,-1,-1,-1
4,6,694.64,339.67,143.55,121.03,0.92,-1,-1,-1
4,7,836.39,460.18,154.18,152.68,0.93,-1,-1,-1
4,8,7.19,701.49,140.21,89.72,0.64,-1,-1,-1
4,9,1424.09,325.91,127.57,135.40,0.75,-1,-1,-1
5,1,871.83,626.40,152.07,138.66,0.96,-1,-1,-1
5,2,1151.27,850.42,239.11,221.53,0.96,-1,-1,-1
5,3,8.18,700.65,137.78,91.70,0.96,-1,-1,-1
5,4,273.98,814.64,103.54,132.32,0.94,-1,-1,-1
5,5,1696.52,476.87,148.82,125.15,0.91,-1,-1,-1
5,6,696.70,339.39,144.16,121.60,0.95,-1,-1,-1
5,7,837.31,459.95,153.91,152.43,0.92,-1,-1,-1
5,8,6.66,700.98,141.60,90.73,0.48,-1,-1,-1
5,9,1419.99,320.31,135.53,145.18,0.70,-1,-1,-1
6,1,871.53,625.69,152.63,139.29,0.96,-1,-1,-1
6,2,1152.15,850.92,238.34,220.73,0.84,-1,-1,-1
6,3,7.92,700.33,138.23,92.11,0.96,-1,-1,-1
6,4,274.02,813.83,104.07,132.95,0.94,-1,-1,-1
6,5,1695.45,475.60,150.66,127.08,0.90,-1,-1,-1
6,6,697.45,339.20,144.14,121.60,0.95,-1,-1,-1
6,7,837.07,459.88,154.76,153.35,0.92,-1,-1,-1
6,8,6.53,700.73,141.94,91.09,0.51,-1,-1,-1
6,9,1420.44,323.84,133.27,143.99,0.80,-1,-1,-1
7,1,872.16,625.97,152.54,139.30,0.96,-1,-1,-1
7,2,1151.32,847.02,241.47,223.82,0.97,-1,-1,-1
7,3,11.16,701.79,135.72,90.53,0.86,-1,-1,-1
7,4,274.34,813.35,104.84,134.01,0.94,-1,-1,-1
7,5,1695.29,475.04,150.88,127.69,0.90,-1,-1,-1
7,6,696.75,338.58,145.11,122.52,0.94,-1,-1,-1
7,7,838.40,460.27,153.11,151.59,0.92,-1,-1,-1
7,8,9.06,702.09,139.87,89.89,0.76,-1,-1,-1
7,9,1419.09,317.35,136.27,148.86,0.81,-1,-1,-1
8,1,871.87,625.37,153.28,140.12,0.96,-1,-1,-1
8,2,1152.63,848.67,239.50,221.96,0.97,-1,-1,-1
8,3,11.70,701.91,135.24,90.30,0.90,-1,-1,-1
8,4,274.71,813.82,104.54,133.63,0.94,-1,-1,-1
